Date,Actual Return,Predicted Return,Actual Trading Signal,Predicted Trading Signal,Actual Entry/Exit,Predicted Entry/Exit
2015-08-12,0.0071106649153032195,-0.004279495,1.0,0.0,1.0,0.0
2015-08-13,-0.0002137933106731688,-0.0046253516,0.0,0.0,-1.0,0.0
2015-08-14,0.005777660961681743,-0.0034990972,1.0,0.0,1.0,0.0
2015-08-17,0.006808248930472615,-0.0036137924,1.0,0.0,0.0,0.0
2015-08-18,0.005530967681010248,-0.004479671,1.0,0.0,0.0,0.0
2015-08-19,-0.013962356091241518,-0.0032345536,0.0,0.0,-1.0,0.0
2015-08-20,-0.02038198719113982,-0.0034365137,0.0,0.0,0.0,0.0
2015-08-21,-0.05672329990106995,-0.003266959,0.0,0.0,0.0,0.0
2015-08-24,-0.03227331170961468,-0.0037170388,0.0,0.0,0.0,0.0
2015-08-25,-0.029030466530637677,-0.004807619,0.0,0.0,0.0,0.0
2015-08-26,0.055349311800545045,-0.0065896385,1.0,0.0,1.0,0.0
2015-08-27,0.027862330823651426,-0.007576295,1.0,0.0,0.0,0.0
2015-08-28,0.0006835033006458221,-0.008001772,1.0,0.0,0.0,0.0
2015-08-31,-0.009333259418723207,-0.0052569043,0.0,0.0,-1.0,0.0
2015-09-01,-0.039062439281434165,-0.0030095659,0.0,0.0,0.0,0.0
2015-09-02,0.03682435496138181,-0.00023188945,1.0,0.0,1.0,0.0
2015-09-03,0.0032288864524840886,-0.0026956326,1.0,0.0,0.0,0.0
2015-09-04,-0.02045941445058652,-0.0044715437,0.0,0.0,-1.0,0.0
2015-09-08,0.030039604443746763,-0.0049205297,1.0,0.0,1.0,0.0
2015-09-09,-0.01868276237160804,-0.0046262112,0.0,0.0,-1.0,0.0
2015-09-10,0.005107901649186396,-0.001961993,1.0,0.0,1.0,0.0
2015-09-11,0.004388711549452749,-0.003867708,1.0,0.0,0.0,0.0
2015-09-14,-0.01011947570248417,-0.0041195005,0.0,0.0,-1.0,0.0
2015-09-15,0.021840173896232832,-0.0027304085,1.0,0.0,1.0,0.0
2015-09-16,0.0072758689176533175,-0.0045157624,1.0,0.0,0.0,0.0
2015-09-17,-0.001128472661308654,-0.0033579492,0.0,0.0,-1.0,0.0
2015-09-18,-0.01740130354751623,-0.0034300406,0.0,0.0,0.0,0.0
2015-09-21,0.014489788536135688,-0.0034692967,1.0,0.0,1.0,0.0
2015-09-22,-0.004761168084483123,-0.0025192657,0.0,0.0,-1.0,0.0
2015-09-23,-0.00068340699188141,-0.0036279762,0.0,0.0,0.0,0.0
2015-09-24,0.0009118003503216753,-0.0041704136,1.0,0.0,1.0,0.0
2015-09-25,0.0006832513675618587,-0.004266223,1.0,0.0,0.0,0.0
2015-09-28,-0.014792645475703583,-0.003168154,0.0,0.0,-1.0,0.0
2015-09-29,0.003464792837110099,-0.0040245377,1.0,0.0,1.0,0.0
2015-09-30,0.018876687775293957,-0.0038460088,1.0,0.0,0.0,0.0
2015-10-01,0.00790768807518228,-0.0038903707,1.0,0.0,0.0,0.0
2015-10-02,0.021519919865046637,-0.0040007285,1.0,0.0,0.0,0.0
2015-10-05,0.023260893082762246,-0.003984122,1.0,0.0,0.0,0.0
2015-10-06,0.002573403473432815,-0.0026437424,1.0,0.0,0.0,0.0
2015-10-07,0.0010693333921780838,-0.0020103797,1.0,0.0,0.0,0.0
2015-10-08,0.013889104703329387,-0.0022389102,1.0,0.0,0.0,0.0
2015-10-09,-0.007165336011899169,-0.0018392487,0.0,0.0,-1.0,0.0
2015-10-12,-0.0023351122570732853,-0.0023786908,0.0,0.0,0.0,0.0
2015-10-13,-0.0023403978559412126,-0.0033954212,0.0,0.0,0.0,0.0
2015-10-14,-0.004478349833537232,-0.003387424,0.0,0.0,0.0,0.0
2015-10-15,0.007069142259774176,-0.0033387118,1.0,0.0,1.0,0.0
2015-10-16,0.010636081012327594,-0.0042642304,1.0,0.0,0.0,0.0
2015-10-19,0.002315185609968131,-0.0039617848,1.0,0.0,0.0,0.0
2015-10-20,0.0031501906042441423,-0.003816977,1.0,0.0,0.0,0.0
2015-10-21,-0.011932265290355631,-0.0035424433,0.0,0.0,-1.0,0.0
2015-10-22,0.017584528409748897,-0.002996997,1.0,0.0,1.0,0.0
2015-10-23,0.10077067096498515,-0.0031304997,1.0,0.0,0.0,0.0
2015-10-26,0.02610151920060555,-0.0034706905,1.0,0.0,0.0,0.0
2015-10-27,-0.010322523224917446,-0.002992816,0.0,0.0,-1.0,0.0
2015-10-28,0.005401529324280828,-0.0020202915,1.0,0.0,1.0,0.0
2015-10-29,-0.011485811837707912,0.00052266766,0.0,1.0,-1.0,1.0
2015-10-30,-0.013493165229352294,0.0017667434,0.0,1.0,0.0,0.0
2015-11-02,0.011398207906434987,-0.0027663957,1.0,0.0,1.0,-1.0
2015-11-03,0.01709240168200155,-0.0043958444,1.0,0.0,0.0,0.0
2015-11-04,0.0046169415019019595,-0.0039864276,1.0,0.0,0.0,0.0
2015-11-05,-0.0003680806606488514,-0.0044687563,0.0,0.0,-1.0,0.0
2015-11-06,0.009930252731124682,-0.003744716,1.0,0.0,1.0,0.0
2015-11-09,-0.013838237771187315,-0.0025212455,0.0,0.0,-1.0,0.0
2015-11-10,-0.012001582828759183,-0.0026853431,0.0,0.0,0.0,0.0
2015-11-11,0.0026164175022955825,-0.0034702085,1.0,0.0,1.0,0.0
2015-11-12,-0.006151063202523122,-0.0037723284,0.0,0.0,-1.0,0.0
2015-11-13,-0.009002166152920937,-0.0039053361,0.0,0.0,0.0,0.0
2015-11-16,0.017600341308916734,-0.0048919404,1.0,0.0,1.0,0.0
2015-11-17,-0.00823802416373864,-0.0044365465,0.0,0.0,-1.0,0.0
2015-11-18,0.016613064414275246,-0.003868789,1.0,0.0,1.0,0.0
2015-11-19,0.0016714362755172359,-0.004092513,1.0,0.0,0.0,0.0
2015-11-20,0.004634560259833008,-0.003665448,1.0,0.0,0.0,0.0
2015-11-23,0.0,-0.0028142221,0.0,0.0,-1.0,0.0
2015-11-24,0.0011072221464889407,-0.0035701727,1.0,0.0,1.0,0.0
2015-11-25,-0.010322540690135716,-0.0027636474,0.0,0.0,-1.0,0.0
2015-11-27,0.0044700551593872566,-0.0035212392,1.0,0.0,1.0,0.0
2015-11-30,0.007787920978093542,-0.0035594404,1.0,0.0,0.0,0.0
2015-12-01,0.016007495849419177,-0.0038537714,1.0,0.0,0.0,0.0
2015-12-02,-0.0001813864219828498,-0.003876786,0.0,0.0,-1.0,0.0
2015-12-03,-0.018293686173770474,-0.003889003,0.0,0.0,0.0,0.0
2015-12-04,0.03154989321116841,-0.0030200246,1.0,0.0,1.0,0.0
2015-12-07,-0.0017884744725877966,-0.0029137696,0.0,0.0,-1.0,0.0
2015-12-08,-0.00035856151591228563,-0.0030430001,0.0,0.0,0.0,0.0
2015-12-09,-0.01451863220200289,-0.0038326455,0.0,0.0,0.0,0.0
2015-12-10,0.00527476640511159,-0.0037269634,1.0,0.0,1.0,0.0
2015-12-11,-0.021892568972761924,-0.00230531,0.0,0.0,-1.0,0.0
2015-12-14,0.019977844258812102,-0.004115619,1.0,0.0,1.0,0.0
2015-12-15,0.001087993419486724,-0.004289785,1.0,0.0,0.0,0.0
2015-12-16,0.016847738428905867,-0.004583074,1.0,0.0,0.0,0.0
2015-12-17,-0.0076606726350101325,-0.0038229031,0.0,0.0,-1.0,0.0
2015-12-18,-0.02818679730360018,-0.004106111,0.0,0.0,0.0,0.0
2015-12-21,0.012932013652385613,-0.0025048475,1.0,0.0,1.0,0.0
2015-12-22,0.009483711489224785,-0.003462081,1.0,0.0,0.0,0.0
2015-12-23,0.008491179260311066,-0.0035353056,1.0,0.0,0.0,0.0
2015-12-24,-0.0026871130823494854,-0.004787782,0.0,0.0,-1.0,0.0
2015-12-28,0.005029846395619985,-0.0045696194,1.0,0.0,1.0,0.0
2015-12-29,0.01072370020537372,-0.0026443936,1.0,0.0,0.0,0.0
2015-12-30,-0.0042437610904500055,-0.0029813414,0.0,0.0,-1.0,0.0
2015-12-31,-0.014739858311325744,-0.0032461847,0.0,0.0,0.0,0.0
2016-01-04,-0.012256868216922841,-0.0035907386,0.0,0.0,0.0,0.0
2016-01-05,0.004562212380638582,-0.0033411474,1.0,0.0,1.0,0.0
2016-01-06,-0.01816536219496678,-0.0036834741,0.0,0.0,-1.0,0.0
2016-01-07,-0.03478256004913083,-0.004687753,0.0,0.0,0.0,0.0
2016-01-08,0.0030670224090663055,-0.0050515053,1.0,0.0,1.0,0.0
2016-01-11,-0.00057340866855871,-0.004827794,0.0,0.0,-1.0,0.0
2016-01-12,0.009177714696524853,-0.004742808,1.0,0.0,1.0,0.0
2016-01-13,-0.021598983618430156,-0.0058288295,0.0,0.0,-1.0,0.0
2016-01-14,0.028466272417060345,-0.005458591,1.0,0.0,1.0,0.0
2016-01-15,-0.03991712991151564,-0.0035612378,0.0,0.0,-1.0,0.0
2016-01-19,-0.008432898219461579,-0.0037304931,0.0,0.0,0.0,0.0
2016-01-20,0.004548841990619221,-0.003807078,1.0,0.0,1.0,0.0
2016-01-21,-0.006103587006708878,-0.0047228932,0.0,0.0,-1.0,0.0
2016-01-22,0.035855906162167724,-0.0037559695,1.0,0.0,1.0,0.0
2016-01-25,-0.009562248826323498,-0.0060497406,0.0,0.0,-1.0,0.0
2016-01-26,0.007337504275467098,-0.0039113536,1.0,0.0,1.0,0.0
2016-01-27,-0.018209821684444072,-0.0031573696,0.0,0.0,-1.0,0.0
2016-01-28,0.016399698235385334,-0.003049903,1.0,0.0,1.0,0.0
2016-01-29,0.05820223751068476,-0.0022193473,1.0,0.0,0.0,0.0
2016-02-01,-0.0068977441053801256,-0.004124567,0.0,0.0,-1.0,0.0
2016-02-02,-0.03125578593358369,-0.003308729,0.0,0.0,0.0,0.0
2016-02-03,-0.015849074484794334,-0.0032699157,0.0,0.0,0.0,0.0
2016-02-04,-0.0030674498387249795,-0.0014456308,0.0,0.0,0.0,0.0
2016-02-05,-0.03538445472945339,-0.001714707,0.0,0.0,0.0,0.0
2016-02-08,-0.014952618755358908,-0.0055592065,0.0,0.0,0.0,0.0
2016-02-09,-0.002630709081109859,-0.0063063134,0.0,0.0,0.0,0.0
2016-02-10,0.008725858631068329,-0.0054614823,1.0,0.0,1.0,0.0
2016-02-11,-0.0004025611846535292,-0.005397505,0.0,0.0,-1.0,0.0
2016-02-12,0.016301208296691794,-0.0061145383,1.0,0.0,1.0,0.0
2016-02-16,0.01894681167784639,-0.004439321,1.0,0.0,0.0,0.0
2016-02-17,0.026032568296235004,-0.0034636962,1.0,0.0,0.0,0.0
2016-02-18,-0.004387740004868087,-0.002865982,0.0,0.0,-1.0,0.0
2016-02-19,-0.0070893852646343215,-0.0027473015,0.0,0.0,0.0,0.0
2016-02-22,0.016016929888615913,-0.0019134893,1.0,0.0,1.0,0.0
2016-02-23,-0.02792026375055746,-0.0020499616,0.0,0.0,-1.0,0.0
2016-02-24,0.0035170417124128564,-0.0026240752,1.0,0.0,1.0,0.0
2016-02-25,0.014408148469584383,-0.0041311574,1.0,0.0,0.0,0.0
2016-02-26,-0.015355174393087204,-0.004044231,0.0,0.0,-1.0,0.0
2016-02-29,-0.008187017572521825,-0.0037184844,0.0,0.0,0.0,0.0
2016-03-01,0.03341200709047243,-0.004966207,1.0,0.0,1.0,0.0
2016-03-02,0.007036800099730511,-0.0033754935,1.0,0.0,0.0,0.0
2016-03-03,-0.011331529530479664,-0.0034196337,0.0,0.0,-1.0,0.0
2016-03-04,-0.006112627083550538,-0.004206961,0.0,0.0,0.0,0.0
2016-03-07,-0.01921985163111528,-0.003057705,0.0,0.0,0.0,0.0
2016-03-08,0.012150010528456646,-0.002097801,1.0,0.0,1.0,0.0
2016-03-09,0.023039720170153103,-0.003995076,1.0,0.0,0.0,0.0
2016-03-10,-0.014950978303310495,-0.004770199,0.0,0.0,-1.0,0.0
2016-03-11,0.019596513113476093,-0.00435793,1.0,0.0,1.0,0.0
2016-03-14,0.001884265612152502,-0.0040222323,1.0,0.0,0.0,0.0
2016-03-15,0.007899392439485679,-0.002507257,1.0,0.0,0.0,0.0
2016-03-16,0.014181678863784956,-0.0027018324,1.0,0.0,0.0,0.0
2016-03-17,0.005703640543598188,-0.003771612,1.0,0.0,0.0,0.0
2016-03-18,-0.02140504420456879,-0.0024471614,0.0,0.0,-1.0,0.0
2016-03-21,0.006917243694785307,-0.0031437979,1.0,0.0,1.0,0.0
2016-03-22,0.0038989803101610082,-0.0029251922,1.0,0.0,0.0,0.0
2016-03-23,-0.0018494169578471393,-0.0031597791,0.0,0.0,-1.0,0.0
2016-03-24,0.00444699470337962,-0.004023639,1.0,0.0,1.0,0.0
2016-03-28,-0.012359445383310574,-0.0045750374,0.0,0.0,-1.0,0.0
2016-03-29,0.02185281361546454,-0.0032879938,1.0,0.0,1.0,0.0
2016-03-30,0.00621478020653888,-0.003586623,1.0,0.0,0.0,0.0
2016-03-31,0.0032695667085607012,-0.0037555785,1.0,0.0,0.0,0.0
2016-04-01,0.00615619144485534,-0.003501207,1.0,0.0,0.0,0.0
2016-04-04,-0.0025193086341790405,-0.0035340944,0.0,0.0,-1.0,0.0
2016-04-05,-0.015695497361340793,-0.0023400728,0.0,0.0,0.0,0.0
2016-04-06,0.010263781476679286,-0.0032594828,1.0,0.0,1.0,0.0
2016-04-07,-0.011973693308175878,-0.0035207702,0.0,0.0,-1.0,0.0
2016-04-08,-0.0007347140281072109,-0.0037432963,0.0,0.0,0.0,0.0
2016-04-11,-0.0020210296807942054,-0.0043135677,0.0,0.0,0.0,0.0
2016-04-12,0.006260167551498171,-0.004452515,1.0,0.0,1.0,0.0
2016-04-13,0.012808675803302355,-0.0036365592,1.0,0.0,0.0,0.0
2016-04-14,0.0001808004260863603,-0.004369183,1.0,0.0,0.0,0.0
2016-04-15,0.00523842323829603,-0.0036551845,1.0,0.0,0.0,0.0
2016-04-18,0.01455509538481725,-0.00341656,1.0,0.0,0.0,0.0
2016-04-19,-0.0012396874268398848,-0.0029491575,0.0,0.0,-1.0,0.0
2016-04-20,-0.014186920703202715,-0.0028981268,0.0,0.0,0.0,0.0
2016-04-21,0.003417826644496194,-0.00334779,1.0,0.0,1.0,0.0
2016-04-22,-0.07171011173297115,-0.0031233102,0.0,0.0,-1.0,0.0
2016-04-25,0.006372938669605192,-0.003397518,1.0,0.0,1.0,0.0
2016-04-26,-0.012857204927827047,-0.0047763204,0.0,0.0,-1.0,0.0
2016-04-27,-0.009720187737408572,-0.005712233,0.0,0.0,0.0,0.0
2016-04-28,-0.02041626861113399,-0.006054638,0.0,0.0,0.0,0.0
2016-04-29,-0.0006012236719181792,-0.007727928,0.0,0.0,0.0,0.0
2016-05-02,0.014838631729844332,-0.0041775513,1.0,0.0,1.0,0.0
2016-05-03,-0.016400033746552852,-0.0051044114,0.0,0.0,-1.0,0.0
2016-05-04,0.0018080191113105677,-0.0048780954,1.0,0.0,1.0,0.0
2016-05-05,0.0014036713011174003,-0.0046912176,1.0,0.0,0.0,0.0
2016-05-06,0.009010881239003288,-0.0035711236,1.0,0.0,0.0,0.0
2016-05-09,-0.00635038716070424,-0.0034751708,0.0,0.0,-1.0,0.0
2016-05-10,0.018973550370285478,-0.004466594,1.0,0.0,1.0,0.0
2016-05-11,0.0005879436250819686,-0.00346888,1.0,0.0,0.0,0.0
2016-05-12,0.009010410060033214,-0.0033610882,1.0,0.0,0.0,0.0
2016-05-13,-0.008347677590320294,-0.0031494114,0.0,0.0,-1.0,0.0
2016-05-16,0.014682797597502784,-0.0033982345,1.0,0.0,1.0,0.0
2016-05-17,-0.018651627071721407,-0.0026416716,0.0,0.0,-1.0,0.0
2016-05-18,0.005939361942831186,-0.003499045,1.0,0.0,1.0,0.0
2016-05-19,-0.009643843520312114,-0.0034306005,0.0,0.0,-1.0,0.0
2016-05-20,0.00596195333709182,-0.004007254,1.0,0.0,1.0,0.0
2016-05-23,-0.01165528070090049,-0.0035699252,0.0,0.0,-1.0,0.0
2016-05-24,0.031181322921902465,-0.0046775546,1.0,0.0,1.0,0.0
2016-05-25,0.010273049308116443,-0.0036936335,1.0,0.0,0.0,0.0
2016-05-26,-0.004412851953643279,-0.0040265564,0.0,0.0,-1.0,0.0
2016-05-27,0.008286762223325361,-0.0032263612,1.0,0.0,1.0,0.0
2016-05-31,0.012996977776483334,-0.003179772,1.0,0.0,0.0,0.0
2016-06-01,-0.002830161924325714,-0.0018389231,0.0,0.0,-1.0,0.0
2016-06-02,-0.0070009580522299945,-0.003137507,0.0,0.0,0.0,0.0
2016-06-03,-0.013147978071711974,-0.0035109757,0.0,0.0,0.0,0.0
2016-06-06,0.006565232332022224,-0.0030213792,1.0,0.0,1.0,0.0
2016-06-07,-0.0005755582661001073,-0.003383777,0.0,0.0,-1.0,0.0
2016-06-08,-0.001151699971467791,-0.004322021,0.0,0.0,0.0,0.0
2016-06-09,-0.008070877121566183,-0.004444752,0.0,0.0,0.0,0.0
2016-06-10,-0.0027121820620091756,-0.0042495644,0.0,0.0,0.0,0.0
2016-06-13,-0.02602936569251568,-0.003514375,0.0,0.0,0.0,0.0
2016-06-14,-0.006182630265083816,-0.0040277806,0.0,0.0,0.0,0.0
2016-06-15,-0.0028096920581824787,-0.0043334696,0.0,0.0,0.0,0.0
2016-06-16,0.014087460033114233,-0.0047895014,1.0,0.0,1.0,0.0
2016-06-17,-0.005159869507695646,-0.004881547,0.0,0.0,-1.0,0.0
2016-06-20,-0.001196546518616229,-0.005282654,0.0,0.0,0.0,0.0
2016-06-21,0.022368467407684278,-0.003955937,1.0,0.0,1.0,0.0
2016-06-22,-0.0039068952223425485,-0.0034981724,0.0,0.0,-1.0,0.0
2016-06-23,0.0180425805876352,-0.0030694532,1.0,0.0,1.0,0.0
2016-06-24,-0.04006929271385539,-0.0036668417,0.0,0.0,-1.0,0.0
2016-06-27,-0.02809559102211479,-0.0030929237,0.0,0.0,0.0,0.0
2016-06-28,0.020854816900372823,-0.0027600266,1.0,0.0,1.0,0.0
2016-06-29,0.022249233492620306,-0.004262693,1.0,0.0,0.0,0.0
2016-06-30,0.012465502303260267,-0.0044963425,1.0,0.0,0.0,0.0
2016-07-01,-0.0001955869847016804,-0.006268555,0.0,0.0,-1.0,0.0
2016-07-05,0.00019562524645388068,-0.0040515377,1.0,0.0,1.0,0.0
2016-07-06,0.004103847059231842,-0.0017679387,1.0,0.0,0.0,0.0
2016-07-07,0.0,-0.0022101128,0.0,0.0,-1.0,0.0
2016-07-08,0.01790595344906643,-0.0030850568,1.0,0.0,1.0,0.0
2016-07-11,0.005544800785332696,-0.0036540644,1.0,0.0,0.0,0.0
2016-07-12,0.011789359640741466,-0.0034717454,1.0,0.0,0.0,0.0
2016-07-13,0.005637906616768007,-0.0031722176,1.0,0.0,0.0,0.0
2016-07-14,0.004298376526547847,-0.002981107,1.0,0.0,0.0,0.0
2016-07-15,-0.000744163368284639,-0.0024085692,0.0,0.0,-1.0,0.0
2016-07-18,0.0048415894453366385,-0.0029544716,1.0,0.0,1.0,0.0
2016-07-19,-0.0161230541710432,-0.0028848418,0.0,0.0,-1.0,0.0
2016-07-20,0.05311731043757684,-0.0033245801,1.0,0.0,1.0,0.0
2016-07-21,-0.0019675030937108618,-0.0035026139,0.0,0.0,-1.0,0.0
2016-07-22,0.013799449933573632,-0.003554491,1.0,0.0,1.0,0.0
2016-07-25,0.0028281075402587542,-0.0031226198,1.0,0.0,0.0,0.0
2016-07-26,0.0005288887795653584,-0.0028138314,1.0,0.0,0.0,0.0
2016-07-27,-0.010042261744137587,-0.00090476905,0.0,0.0,-1.0,0.0
2016-07-28,0.0003560055543057095,-0.0033634326,1.0,0.0,1.0,0.0
2016-07-29,0.008361274722567641,-0.003011845,1.0,0.0,0.0,0.0
2016-08-01,-0.00176412827640914,-0.0037500951,0.0,0.0,-1.0,0.0
2016-08-02,0.0,-0.0039948025,0.0,0.0,0.0,0.0
2016-08-03,0.006892976309844423,-0.0041258303,1.0,0.0,1.0,0.0
2016-08-04,0.007372231016050878,-0.003477893,1.0,0.0,0.0,0.0
2016-08-05,0.009931950034545844,-0.0033184194,1.0,0.0,0.0,0.0
2016-08-08,0.0017254545481823948,-0.0036532048,1.0,0.0,0.0,0.0
2016-08-09,0.0024112044661306325,-0.0033236945,1.0,0.0,0.0,0.0
2016-08-10,-0.0030926121658871797,-0.0029676394,0.0,0.0,-1.0,0.0
2016-08-11,0.00482587594430005,-0.0030055281,1.0,0.0,1.0,0.0
2016-08-12,-0.006174969374095112,-0.0031558457,0.0,0.0,-1.0,0.0
2016-08-15,0.003106704001524248,-0.0036129067,1.0,0.0,1.0,0.0
2016-08-16,-0.0055404223704652615,-0.0036831095,0.0,0.0,-1.0,0.0
2016-08-17,0.002089215715212153,-0.0038484444,1.0,0.0,1.0,0.0
2016-08-18,0.0006950486541206268,-0.0036880719,1.0,0.0,0.0,0.0
2016-08-19,0.00034699717772769127,-0.0040512905,1.0,0.0,0.0,0.0
2016-08-22,0.0008677990834082796,-0.0037317825,1.0,0.0,0.0,0.0
2016-08-23,0.0038150481224812328,-0.0039531104,1.0,0.0,0.0,0.0
2016-08-24,0.001036487472547931,-0.0036018747,1.0,0.0,0.0,0.0
2016-08-25,0.0037961166248150512,-0.0036596651,1.0,0.0,0.0,0.0
2016-08-26,-0.0024065942337382364,-0.0036239123,0.0,0.0,-1.0,0.0
2016-08-29,0.0012062354073703039,-0.0035393303,1.0,0.0,1.0,0.0
2016-08-30,-0.0036143464694251663,-0.0034686716,0.0,0.0,-1.0,0.0
2016-08-31,-0.0074280062028596544,-0.0036122685,0.0,0.0,0.0,0.0
2016-09-01,0.002262517000030778,-0.003651616,1.0,0.0,1.0,0.0
2016-09-02,0.0013889442665926369,-0.003950401,1.0,0.0,0.0,0.0
2016-09-06,-0.0010401562981653346,-0.003922633,0.0,0.0,-1.0,0.0
2016-09-07,0.0008678066036302876,-0.004137735,1.0,0.0,1.0,0.0
2016-09-08,-0.003988920205323938,-0.004043215,0.0,0.0,-1.0,0.0
2016-09-09,-0.02124317135667153,-0.0036071888,0.0,0.0,0.0,0.0
2016-09-12,0.014943864512280584,-0.0037628463,1.0,0.0,1.0,0.0
2016-09-13,-0.009114747225770107,-0.0039784694,0.0,0.0,-1.0,0.0
2016-09-14,-0.004776368774629274,-0.0041292687,0.0,0.0,0.0,0.0
2016-09-15,0.01653047192720681,-0.0044807913,1.0,0.0,1.0,0.0
2016-09-16,0.0010491021541996232,-0.004535482,1.0,0.0,0.0,0.0
2016-09-19,-0.005589347692359859,-0.0032504958,0.0,0.0,-1.0,0.0
2016-09-20,-0.0021080033869151807,-0.0040936596,0.0,0.0,0.0,0.0
2016-09-21,0.016722545146757414,-0.0034808756,1.0,0.0,1.0,0.0
2016-09-22,0.001038749044073094,-0.0029558782,1.0,0.0,0.0,0.0
2016-09-23,-0.006745147250377782,-0.0037995107,0.0,0.0,-1.0,0.0
2016-09-26,-0.00922848511599384,-0.003820754,0.0,0.0,0.0,0.0
2016-09-27,0.018453434436999535,-0.003357311,1.0,0.0,1.0,0.0
2016-09-28,0.0013803866786969896,-0.00301445,1.0,0.0,0.0,0.0
2016-09-29,-0.01085640231957441,-0.0039526415,0.0,0.0,-1.0,0.0
2016-09-30,0.0034842845867812987,-0.0040915105,1.0,0.0,1.0,0.0
2016-10-03,-0.0031251178804495502,-0.003671218,0.0,0.0,-1.0,0.0
2016-10-04,-0.003134699858938556,-0.0029317436,0.0,0.0,0.0,0.0
2016-10-05,0.006988048454360955,-0.0040072277,1.0,0.0,1.0,0.0
2016-10-06,0.0017349957174834871,-0.004267252,1.0,0.0,0.0,0.0
2016-10-07,0.0010391089092327568,-0.003677548,1.0,0.0,0.0,0.0
2016-10-10,0.004152263521857392,-0.0038795474,1.0,0.0,0.0,0.0
2016-10-11,-0.014645116988575397,-0.0036383697,0.0,0.0,-1.0,0.0
2016-10-12,-0.0013988028722661159,-0.0033104743,0.0,0.0,0.0,0.0
2016-10-13,-0.003326810373537988,-0.0036620747,0.0,0.0,0.0,0.0
2016-10-14,0.008784059095482182,-0.0038373733,1.0,0.0,1.0,0.0
2016-10-17,-0.0034829998432650594,-0.004059561,0.0,0.0,-1.0,0.0
2016-10-18,0.007689597522137834,-0.004563719,1.0,0.0,1.0,0.0
