Date,Actual,Predictions
2018-04-20,0.008594536669549235,-0.004817489523902502
2018-04-27,-0.006911704351629133,0.004823212761982735
2018-05-04,0.026341803894269766,0.008495348594817976
2018-05-11,-0.013810343731983643,0.001668399382064852
2018-05-18,0.020543039472527447,0.00513517621443489
2018-05-25,0.033098032724011794,0.003151794908878008
2018-06-04,-0.006116782227183926,0.0002915401348818308
2018-06-11,-0.0018820513500497071,0.004597571187492662
2018-06-18,-0.02479425602576857,1.0197654994225074e-05
2018-06-25,0.016331035674308936,0.003315504892244825
2018-07-02,0.020878416920322884,0.004606409055568794
2018-07-10,0.036818636641637426,0.002627270152036768
2018-07-17,0.016010891237763225,0.002450337840482593
2018-07-24,-0.014784603449690792,0.0019082094481919218
2018-07-31,0.02605278941881295,0.0054410123926207955
2018-08-07,0.0062259889937008595,0.005100230400034785
2018-08-14,-0.03322189337136283,0.0033678052735410433
2018-08-21,0.03959080379624336,0.007843053163786565
2018-08-28,-0.016183249392235588,0.002871881305317108
2018-09-05,0.029248236243400783,0.007023206322225358
2018-09-12,-8.954063304944526e-05,0.003621472261009658
2018-09-19,0.02020634510467012,0.004003491965722084
2018-09-26,0.010386257923297393,0.0038297020615217893
2018-10-03,-0.0814618572620196,0.006437917583427264
2018-10-10,0.041966737081692074,0.007528874368660023
2018-10-17,-0.07880900731375107,0.002099600538494204
2018-10-24,0.04294637795611056,0.00889533429952227
2018-10-31,0.047090124225845464,0.0027798235433746706
2018-11-07,-0.06446704979320739,0.0005483859585870168
2018-11-14,-0.017878221227499935,0.0017648641946988667
2018-11-21,0.06640978520674423,0.0010692830769950168
2018-11-29,-0.04996158019342456,0.0014241297000201492
2018-12-07,0.011477470962304892,0.004445665994706432
2018-12-14,-0.07641035956390052,0.003283017597963355
2018-12-21,0.033436511085826126,0.004740836171225265
2018-12-31,0.012037169760600541,0.0019267558954657918
2019-01-08,0.02127022135359269,-0.0023894578594652947
2019-01-15,0.01605926198787344,0.003452485779755917
2019-01-23,-0.003097302553313419,0.005273253229628738
2019-01-30,-0.0032955020706788574,0.006009413081529264
2019-02-06,0.007329470819237294,0.003810614895164724
2019-02-13,0.02405079471599514,0.0019650132734263374
2019-02-21,0.02366435471428474,0.005228459971228193
2019-02-28,-0.014747137173202418,0.002963860220882742
2019-03-07,0.0373409639787754,0.0023995830727330876
2019-03-14,0.04796289928493813,0.0021324997967286964
2019-03-21,-0.02774794000279801,0.002882573056980158
2019-03-28,0.02056867380685734,0.00581808968953524
2019-04-04,0.008093842098028325,0.003289033654681411
2019-04-11,0.024950008679324398,0.0028161052761150065
2019-04-18,0.0514999413738666,0.004991908829218654
2019-04-26,-0.007651071125844844,2.036511891853653e-05
2019-05-03,-0.01382669923684432,0.008147559319432061
2019-05-10,0.007366883269646962,0.0018231448338556638
2019-05-17,-0.014392206451576683,0.0022046557387067067
2019-05-28,-0.024066618891415814,0.0030285761501093705
2019-06-04,0.07007490494116375,0.007206450660818838
2019-06-11,0.02290003120868267,0.005084132112570342
2019-06-18,-0.012882348078229633,0.0037747458736822745
2019-06-25,0.023333596076922092,0.004024019444292657
2019-07-02,0.009255644806899888,0.002273399721981037
2019-07-10,-0.011527938631667567,0.0019057785115688813
2019-07-17,0.03213386598936019,0.005805544633646749
2019-07-24,-0.03213386598936019,0.003342146574885414
2019-07-31,-0.0072915475478430025,0.0015327667491394931
2019-08-07,-0.009656192375469885,0.0030611100035025087
2019-08-14,0.03527144780213565,0.004655881897417044
2019-08-21,-0.023547622264393553,0.0035063564356870207
2019-08-28,0.032585194767538184,0.004193253030518091
2019-09-05,-0.018230131354087575,0.002167748318487159
2019-10-10,0.004232556408761745,0.004794283565003908
2019-10-17,0.0017880775470686672,0.002473605938435351
2019-10-24,0.024214890436910608,0.0029450451154421887
2019-10-31,0.006188521796550717,0.00436351430789978
2019-11-07,0.02600039152834377,0.004317250396579467
2019-11-14,0.00954499550947574,0.003999163934396168
2019-11-21,0.012630688101230803,0.0033801136068756813
2019-11-29,0.0024411658032521544,0.00393686992942968
2019-12-06,0.018153814406538515,0.0022988672410814365
2019-12-13,0.018465645285366428,0.003581952850377958
2019-12-20,0.0011428107642581509,0.002987405195011877
2019-12-30,-6.342295838646095e-05,0.006079237375787992
2020-01-07,0.028465235241243114,0.0023150521423309783
2020-01-14,0.021780393336522152,0.004054826789673506
2020-01-22,0.014023100332048344,0.0016832923606579665
2020-01-29,0.06819910068202084,0.005698294003911621
2020-02-05,0.026385956910161212,0.0031476964066956222
2020-02-12,-0.0015713087571054274,0.001123913171851862
2020-02-20,-0.15348217639406858,0.0016183506225788378
2020-02-27,0.049879419960003446,0.007182869614756176
2020-03-05,-0.1787075216338332,0.00549840840188821
2020-03-12,0.025909169043449864,0.008747697246586294
2020-03-19,0.08974624472050241,0.0010336027360288219
2020-03-26,-0.005459795281215207,0.005885771860071227
2020-04-02,0.06169249969620516,0.001863847530747545
2020-04-09,0.07835510732329976,0.0014632483647353907
2020-04-17,-0.022937451581999113,0.0009615143773203379
2020-04-24,0.00011459825783788347,0.0032979172387956157
2020-05-01,0.05629870868735942,0.0030617240785164113
2020-05-08,-0.008264450196875828,0.0017149156104192369
2020-05-15,0.0019090242057746565,0.004188702415391021
2020-05-22,-0.0037123626332347115,0.00310112987933864
2020-06-01,0.029798259260219062,0.0032882650452202545
2020-06-08,0.0030744886468845323,0.00668158744292463
2020-06-15,0.05973383225239104,0.004873402877112172
2020-06-22,-0.010676549779132571,0.0030098086649693427
2020-06-29,0.04825248131110982,0.007388713730971903
2020-07-07,0.00048010611604087927,-0.0018064548781093542
2020-07-14,0.0019179765679719907,0.005608435111890861
2020-07-21,-0.032770640181224664,0.000149973733355571
2020-07-28,0.0542859870255441,0.0029613205454532884
2020-08-04,-0.04757653620397129,0.009894084176970625
2020-08-11,0.039101567646979696,0.006225708823744118
2020-08-18,0.0232742333326037,0.0010818865106632372
2020-08-25,0.04868678143407745,0.0052421870976969145
2020-09-01,-0.07290719113514932,0.0030994975202346207
2020-09-09,-0.029977698928763452,0.0037683311651378957
2020-09-16,-0.02199086114114479,0.003860165135366885
2020-09-23,0.047414729012697165,0.006315168123306214
2020-09-30,-0.0023800467996375474,0.004072484531877302
2020-10-07,0.051231331589531415,0.0034240840128181194
2020-10-14,-0.027821642540359903,-5.920023375088901e-05
2020-10-21,-0.058079032371298744,0.0024460834053933915
2020-10-28,0.06545398789223267,0.003368992826813977
2020-11-04,0.0007391493901787172,-0.0038794610402669303
2020-11-11,-0.025584264541097745,0.006812740127676421
2020-11-18,0.01313111375473408,0.0035119396795018267
2020-11-25,0.0017285766162009608,0.0013245025484612885
2020-12-03,-0.017516226802721135,0.0034145493512343604
2020-12-10,0.041407012263992016,0.005208581552288948
2020-12-17,0.01506237330655047,0.005041112911584202
2020-12-24,-0.022978022723014746,0.005505177542347377
2021-01-04,-0.0009191459105473143,0.003254374165967561
2021-01-11,-0.004839513662993511,0.0016232090008166822
2021-01-19,0.07084539861409933,0.0021676652090651294
2021-01-26,0.03043636402928307,0.0030715214298055495
2021-02-02,0.017630028622845906,0.0008742653772460742
2021-02-09,0.0017623738590515359,-0.0004245330838711606
2021-02-17,-0.04031875139405816,0.0013667550925552851
2021-02-24,-0.030254868631764964,0.004239355116520185
2021-03-03,0.02113214276269293,0.006084601552932037
2021-03-10,0.0196828030250229,0.003644355072385908
2021-03-17,-0.006687798777652354,0.004455941560317379
2021-03-24,0.0013156955036182083,0.0041538189669772605
2021-03-31,0.07152037146129064,0.0028906933705431224
2021-04-08,0.024379559477150536,-0.001278532211851655
2021-04-15,-0.009019305578585879,0.0033436648525369188
2021-04-22,-0.01828656689000674,0.003832002892623909
2021-04-29,-0.011070513003669014,-0.0013559209187822586
2021-05-06,-0.02719542964602173,0.00604736386636868
2021-05-13,0.014095949466847557,0.006180318503114645
2021-05-20,0.011416255292355793,0.0006563216730599321
